objectid,park_name,date_installed,comments,data_source,lat,lng
28,Dr Martin Luther King Jr Recreation Center,2020-11-01 00:00:00,Under the shade structure,"Capital 2020 Information; NearMap 2021",39.98036009638186,-75.16959770305672
29,Hancock Playground,2020-08-01 00:00:00,,"Capital Data 2021, NearMap 2020",39.97256439962862,-75.13728757223721
30,Nicetown Park,2020-10-01 00:00:00,Next to playground,Capital Data 2020.,40.020167262946664,-75.15568709201052
31,Miles Mack Playground,2021-03-01 00:00:00,Installed in 2021,NearMap2021,39.96726973721454,-75.1961236233359
32,Vernon Park,2015-07-01 00:00:00,,NearMap2021,40.036300584813176,-75.17643775438638
33,Samuel Rose Recreation Center,,Next to the walking track,NearMap2021,39.97278019543787,-75.26076859911691
1,American Legion Playground,2016-01-01 00:00:00,,"Capital Data 2019, Google Street View 2018, Pictometry 2020",40.01851447081599,-75.0541486361246
2,Woodside Park,2010-01-01 00:00:00,East side of park,"Capital Data 2019, Google Street View 2018, Pictometry 2020",40.00163628418796,-75.20779499640496
3,Marian Winfield Hissey Recreation Center,2016-01-01 00:00:00,,"Capital Data 2019, Google Street View 2018, Pictometry 2020",39.99452431290682,-75.123329146092
4,Wister Playground,2016-01-01 00:00:00,,"Capital Data 2019, Google Street View 2018, Pictometry 2020",40.032280164880056,-75.16018524684107
5,Frederick Cione Playground,2016-01-01 00:00:00,,"Capital Data 2019, Google Street View 2018, Pictometry 2020",39.98170162136021,-75.11786496427769
6,West Fairmount Park,2015-01-01 00:00:00,Along Martin Luther King Dr,"Capital Data 2019, Google Street View 2018, Pictometry 2020",39.990649536119584,-75.20103635215335
7,West Fairmount Park,2015-01-01 00:00:00,Along Martin Luther King Dr,"Capital Data 2019, Google Street View 2018, Pictometry 2020",39.99030084932997,-75.2014662943702
8,West Fairmount Park,2015-01-01 00:00:00,Along Martin Luther King Dr,"Capital Data 2019, Google Street View 2018, Pictometry 2020",39.99154757567084,-75.19975759240411
9,West Fairmount Park,2015-01-01 00:00:00,"Along Martin Luther King Dr, south to Strawberry Mansion Bridge","Capital Data 2019, Google Street View 2018, Pictometry 2020",39.995212574238536,-75.19594283314453
10,West Fairmount Park,2015-01-01 00:00:00,"Along Martin Luther King Dr, north to Strawberry Mansion Bridge","Capital Data 2019, Google Street View 2018, Pictometry 2020",39.99666836593212,-75.19472090150592
11,Woodside Park,2010-01-01 00:00:00,West side of park,"Capital Data 2019, Google Street View 2018, Pictometry 2020",40.00168039108766,-75.20868363744549
12,Wingohocking Park,,Along the walking trail across from playgroung,"Pictometry 2020, 2018 Geocyclomedia",40.020336128879066,-75.14547611738962
13,William Lanier Park,2018-11-14 00:00:00,,"Pictometry 2020, Capital Plans",39.93295712080901,-75.19348788243184
14,William Lanier Park,2018-11-14 00:00:00,,"Pictometry 2020, Capital Plans",39.93340934970941,-75.19367035946455
15,William Lanier Park,2018-11-14 00:00:00,,"Pictometry 2020, Capital Plans",39.93337428058531,-75.1942463043087
16,Stenton Park,2018-10-01 00:00:00,,"Pictometry 2020, Capital Plans",40.02396743813549,-75.15252914859799
17,Carroll Park,,,"Pictometry 2020, 2018 Geocyclomedia",39.97061371728283,-75.23740202814413
18,Carroll Park,,,"Pictometry 2020, 2018 Geocyclomedia",39.97155503745947,-75.23608096055136
19,Disston Recreation Center,2019-10-01 00:00:00,Installed 10/2020 during renovations,"Pictometry 2020; Rebuild construction update 2020",40.02870177561513,-75.04406385010427
20,Reverend Edward P Burke Playground,2017-07-01 00:00:00,,"Pictometry 2020, Cyclomedia 2020",39.92136601329159,-75.15061131857688
21,Victor J Moss Memorial Field,2019-10-01 00:00:00,Installed during renovations 10/2019.,Aerials 2020,40.0162631464925,-75.06236349780706
22,Thomas B Smith Recreation Center,2018-04-01 00:00:00,,Pictometry 2018,39.926122363659886,-75.18763786693081
23,Mount Airy Playground,2011-01-01 00:00:00,Installed between 2010 and 2012.,Aerial Imagery 2012.,40.057843852795806,-75.18853369591416
24,Triangle Park,2014-01-01 00:00:00,,2020 Pictometry,39.983429465404136,-75.23222749607615
25,Triangle Park,2014-01-01 00:00:00,,2020 Pictometry,39.9832478713176,-75.231725817191
26,Haddington-Marshall L Shepard Sr Recreation Center,2017-01-01 00:00:00,,2020 Pictometry,39.966631444870096,-75.23421665520658
27,Haddington-Marshall L Shepard Sr Recreation Center,2017-01-01 00:00:00,,2020 Pictometry,39.96604627698005,-75.23434666045077
