OBJECTID,DISTRICTID,LABEL,COMMENTS,Shape__Area,Shape__Length
1,1,District 1,,933290217.554749,148721.835989358
2,2,District 2,,268276016.936829,82289.3800822936
3,4,District 4,,626078711.746826,116040.130482237
4,3,District 3,,296443109.391541,95636.312276384
5,5,District 5,,251133006.917175,71721.4258881814
6,8,District 8,,315211459.862854,114508.324768782
7,9,District 9,,654166006.030151,117231.03630129
8,7,District 7,,272068664.090637,87090.9315905377
9,10,District 10,,183096411.930908,70226.8734442344
10,6,District 6,,183249068.464722,60169.8767811378
