PPR_DISTRICT,OBJECTID,PUBLIC_NAME,howManyMonthBelongToThisCluster,cluster
"1","119",James J Ramp Playground,"4",potential
"8","230",Albert W Christy Sr Recreation Center,"2",potential
"10","214",Marie Dendy Recreation Center,"1",over-programmed
"4","98",William B Simons Recreation Center,"2",over-programmed
"4","132",W Freeland Kendrick Recreation Center,"5",over-programmed
"4","144",Harry S McDevitt Playground,"1",over-programmed
"4","207",Mount Airy Playground,"1",over-programmed
"5","107",William (Billy) Gambrel Playground,"2",over-programmed
"6","498",Dr Martin Luther King Jr Recreation Center,"1",over-programmed
"7","225",Marian Anderson Recreation Center,"3",over-programmed
"9","139",Thomas B Smith Recreation Center,"2",over-programmed
