naics_code,totalVisitors
"441110","953"
"441310","1876"
"442110","493"
"444130","5783"
"445110","11247"
"445120","33783"
"445291","2070"
"445310","1081"
"446110","13858"
"447110","20760"
"448140","1011"
"451120","1365"
"451211","671"
"452210","8453"
"452319","20782"
"453220","666"
"453310","1215"
"453910","869"
"491110","1200"
"493110","811"
"522110","459"
"531120","1057"
"531130","382"
"532120","428"
"621492","895"
"624410","507"
"713940","5672"
"721110","3516"
"722511","4262"
"722513","32456"
"722515","22246"
