Places,a,b,c,d,e,f,g,h,i,j,k,l,m
Schoodic Institute,0.0,0.2,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.1,0.0,0.1
Bass Harbor,0.03773584905660377,0.0,0.07547169811320754,0.05660377358490566,0.3018867924528302,0.05660377358490566,0.3018867924528302,0.0,0.018867924528301886,0.07547169811320754,0.0,0.018867924528301886,0.05660377358490566
Southwest Harbor,0.045454545454545456,0.6363636363636364,0.0,0.0,0.0,0.045454545454545456,0.18181818181818182,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.0
Northeast Harbor,0.13333333333333333,0.13333333333333333,0.0,0.0,0.26666666666666666,0.0,0.06666666666666667,0.0,0.0,0.2,0.06666666666666667,0.0,0.13333333333333333
Bar Harbor,0.038834951456310676,0.08737864077669903,0.04854368932038835,0.019417475728155338,0.0,0.04854368932038835,0.3106796116504854,0.0,0.019417475728155338,0.11650485436893204,0.038834951456310676,0.13592233009708737,0.13592233009708737
Wild Gardens of Acadia,0.0,0.0,0.0,0.05555555555555555,0.2222222222222222,0.0,0.05555555555555555,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333
Cadillac Mountain,0.0,0.12631578947368421,0.042105263157894736,0.042105263157894736,0.3368421052631579,0.05263157894736842,0.0,0.0,0.010526315789473684,0.15789473684210525,0.010526315789473684,0.06315789473684211,0.15789473684210525
Penobscot Peak,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
Bubble Rock,0.0,0.11764705882352941,0.11764705882352941,0.0,0.29411764705882354,0.0,0.29411764705882354,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705
Jordan Pond,0.03389830508474576,0.11864406779661017,0.01694915254237288,0.05084745762711865,0.23728813559322035,0.01694915254237288,0.288135593220339,0.0,0.1694915254237288,0.0,0.0,0.01694915254237288,0.05084745762711865
Boulder Beach,0.0,0.0625,0.0,0.0,0.125,0.0,0.25,0.0,0.0,0.4375,0.0,0.0625,0.0625
Thunder Hole,0.0,0.09090909090909091,0.022727272727272728,0.0,0.06818181818181818,0.022727272727272728,0.20454545454545456,0.0,0.022727272727272728,0.29545454545454547,0.18181818181818182,0.0,0.09090909090909091
Sand Beach,0.01818181818181818,0.05454545454545454,0.03636363636363636,0.03636363636363636,0.18181818181818182,0.01818181818181818,0.16363636363636364,0.0,0.0,0.12727272727272726,0.05454545454545454,0.3090909090909091,0.0
