Places,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u
Mariposa Grove of Giant Sequoias,0.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.10344827586206896,0.06896551724137931,0.3103448275862069,0.034482758620689655,0.0,0.2413793103448276,0.0,0.034482758620689655,0.0,0.0,0.06896551724137931,0.034482758620689655
Tioga Lake,0.02564102564102564,0.0,0.0,0.46153846153846156,0.0,0.1282051282051282,0.05128205128205128,0.10256410256410256,0.0,0.0,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.05128205128205128,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.02564102564102564
Tuolumne Grove,0.0,0.07142857142857142,0.0,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.21428571428571427,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0
Tuolumne Meadows,0.0,0.2553191489361702,0.06382978723404255,0.0,0.0,0.2127659574468085,0.23404255319148937,0.0425531914893617,0.0,0.06382978723404255,0.0,0.0425531914893617,0.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.0
Yosemite West,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
Olmsted Point,0.024390243902439025,0.07317073170731707,0.07317073170731707,0.17073170731707318,0.0,0.0,0.0975609756097561,0.07317073170731707,0.024390243902439025,0.04878048780487805,0.024390243902439025,0.0975609756097561,0.0,0.12195121951219512,0.0975609756097561,0.0,0.024390243902439025,0.024390243902439025,0.0,0.0,0.024390243902439025
Tenaya Lake,0.041666666666666664,0.125,0.041666666666666664,0.25,0.0,0.25,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664
Wildcat Falls,0.029411764705882353,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.029411764705882353,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.2647058823529412,0.08823529411764706,0.058823529411764705,0.0,0.08823529411764706,0.0,0.029411764705882353,0.058823529411764705,0.029411764705882353
Mirror Lake,0.06896551724137931,0.034482758620689655,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.06896551724137931,0.10344827586206896,0.10344827586206896,0.034482758620689655,0.10344827586206896,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.06896551724137931,0.06896551724137931
Vernal Falls,0.06,0.0,0.0,0.14,0.0,0.02,0.0,0.02,0.1,0.0,0.02,0.12,0.12,0.06,0.2,0.04,0.0,0.02,0.02,0.04,0.02
El Capitan Meadow,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.19047619047619047,0.14285714285714285,0.14285714285714285,0.0,0.0,0.09523809523809523,0.0,0.047619047619047616,0.0,0.14285714285714285
Tunnel View,0.03488372093023256,0.046511627906976744,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.046511627906976744,0.011627906976744186,0.0,0.03488372093023256,0.10465116279069768,0.011627906976744186,0.0,0.13953488372093023,0.046511627906976744,0.2441860465116279,0.046511627906976744,0.05813953488372093,0.03488372093023256,0.03488372093023256,0.023255813953488372,0.046511627906976744
Bridalveil Falls,0.05714285714285714,0.04285714285714286,0.0,0.02857142857142857,0.014285714285714285,0.014285714285714285,0.0,0.02857142857142857,0.04285714285714286,0.014285714285714285,0.08571428571428572,0.07142857142857142,0.0,0.04285714285714286,0.1,0.05714285714285714,0.21428571428571427,0.014285714285714285,0.014285714285714285,0.1,0.05714285714285714
Yosemite Valley View,0.05263157894736842,0.0,0.0,0.02631578947368421,0.0,0.07894736842105263,0.0,0.0,0.0,0.05263157894736842,0.02631578947368421,0.23684210526315788,0.2631578947368421,0.0,0.10526315789473684,0.0,0.05263157894736842,0.0,0.02631578947368421,0.02631578947368421,0.05263157894736842
Glacier Point,0.13043478260869565,0.0,0.014492753623188406,0.028985507246376812,0.0,0.07246376811594203,0.0,0.014492753623188406,0.043478260869565216,0.13043478260869565,0.014492753623188406,0.11594202898550725,0.13043478260869565,0.028985507246376812,0.0,0.028985507246376812,0.11594202898550725,0.0,0.057971014492753624,0.057971014492753624,0.014492753623188406
Curry Village,0.08333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.16666666666666666,0.0,0.041666666666666664,0.0,0.041666666666666664,0.08333333333333333,0.0,0.041666666666666664,0.08333333333333333,0.20833333333333334,0.041666666666666664,0.041666666666666664
Four Mile Trailhead,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0625,0.125,0.08333333333333333,0.0625,0.10416666666666667,0.020833333333333332,0.0,0.08333333333333333,0.08333333333333333,0.0,0.041666666666666664,0.041666666666666664,0.125,0.14583333333333334
Ahwahnee Historic Building,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.0,0.26666666666666666,0.06666666666666667,0.06666666666666667
Valley Visitor Center,0.025,0.0,0.05,0.1,0.0,0.0,0.0,0.05,0.075,0.15,0.05,0.05,0.0,0.025,0.075,0.075,0.025,0.1,0.0,0.05,0.1
Lower Yosemite Fall,0.023255813953488372,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.023255813953488372,0.046511627906976744,0.13953488372093023,0.09302325581395349,0.09302325581395349,0.046511627906976744,0.09302325581395349,0.09302325581395349,0.023255813953488372,0.023255813953488372,0.0,0.023255813953488372,0.0,0.23255813953488372
Sentinel Bridge,0.044444444444444446,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.022222222222222223,0.0,0.08888888888888889,0.0,0.13333333333333333,0.06666666666666667,0.044444444444444446,0.06666666666666667,0.06666666666666667,0.044444444444444446,0.1111111111111111,0.1111111111111111,0.17777777777777778,0.0
