origin,dest,count
1,2,13
1,3,6
1,4,1
1,5,11
1,6,1
1,7,8
1,10,3
1,11,3
1,12,2
1,13,5
2,1,11
2,3,32
2,4,9
2,5,62
2,6,12
2,7,52
2,8,4
2,9,6
2,10,24
2,11,12
2,12,15
2,13,21
3,1,2
3,2,42
3,4,6
3,5,27
3,6,3
3,7,15
3,8,4
3,9,1
3,10,4
3,11,1
3,12,2
3,13,2
4,1,5
4,2,15
4,3,8
4,5,13
4,6,1
4,7,7
4,9,2
4,10,10
4,11,1
4,12,2
4,13,3
5,1,20
5,2,59
5,3,24
5,4,21
5,6,17
5,7,117
5,8,3
5,9,12
5,10,49
5,11,15
5,12,40
5,13,56
6,1,1
6,2,3
6,3,1
6,4,2
6,5,10
6,7,5
6,8,1
6,9,1
6,10,6
6,11,4
6,12,11
6,13,15
7,1,8
7,2,55
7,3,12
7,4,12
7,5,102
7,6,16
7,9,14
7,10,51
7,11,12
7,12,24
7,13,43
8,1,2
8,2,3
8,3,3
8,4,2
8,5,2
8,10,2
8,12,1
8,13,1
9,1,1
9,2,16
9,3,5
9,5,18
9,6,1
9,7,13
9,8,2
9,10,17
9,11,3
9,12,3
9,13,4
10,1,6
10,2,36
10,3,4
10,4,10
10,5,48
10,6,5
10,7,51
10,8,1
10,9,44
10,11,3
10,12,7
10,13,12
11,1,3
11,2,10
11,3,7
11,4,4
11,5,10
11,6,3
11,7,18
11,10,18
11,12,4
11,13,8
12,1,1
12,2,17
12,3,4
12,4,3
12,5,25
12,6,3
12,7,28
12,9,5
12,10,42
12,11,32
12,13,7
13,1,4
13,2,19
13,3,5
13,4,6
13,5,29
13,6,4
13,7,31
13,9,4
13,10,24
13,11,16
13,12,74
