id,name,lat,lon
1,Mariposa Grove of Giant Sequoias,37.51709455,-119.6153452
2,Tioga Lake,37.92625128,-119.2472443
3,Tuolumne Grove,37.76139982,-119.8027355
4,Tuolumne Meadows,37.87696396,-119.3609173
5,Yosemite West,37.64875428,-119.7083198
6,Olmsted Point,37.81046637,-119.4852775
7,Tenaya Lake,37.82946279,-119.4663899
8,Wildcat Falls,37.72293503,-119.7125921
9,Mirror Lake,37.74813205,-119.5501075
10,Vernal Falls,37.72624245,-119.5432134
11,El Capitan Meadow,37.7237945,-119.6334918
12,Tunnel View,37.71564618,-119.6769573
13,Bridalveil Falls,37.71900454,-119.6492778
14,Yosemite Valley View,37.71727241,-119.6636869
15,Glacier Point,37.72910245,-119.5737676
16,Curry Village,37.73927901,-119.5709498
17,Four Mile Trailhead,37.73785522,-119.5984944
18,Ahwahnee Historic Building,37.74619548,-119.5741483
19,Valley Visitor Center,37.74581719,-119.5843548
20,Lower Yosemite Fall,37.74987637,-119.5958051
21,Sentinel Bridge,37.74480644,-119.591806
