,Mariposa Grove of Giant Sequoias,Tioga Lake,Tuolumne Grove,Tuolumne Meadows,Yosemite West,Olmsted Point,Tenaya Lake,Wildcat Falls,Mirror Lake,Vernal Falls,El Capitan Meadow,Tunnel View,Bridalveil Falls,Yosemite Valley View,Glacier Point,Curry Village,Four Mile Trailhead,Ahwahnee Historic Building,Valley Visitor Center,Lower Yosemite Fall,Sentinel Bridge
Mariposa Grove of Giant Sequoias,0,145.32,69.52,131.64,31.38,115.71,119.09,56.17,54.88,55.52,48.6,43.13,45.71,51.34,55.04,54.07,50.86,54.4,52.79,54.07,52.3
Tioga Lake,140.66,0,75.8,14.093,111.85,29.61,26.39,95.11,104.29,105.09,98.01,97.53,95.27,100.91,104.45,103.64,100.26,103.8,102.35,103.48,101.87
Tuolumne Grove,64.86,75.8,0,62.12,36.05,46.19,49.41,19.565,28.889,29.566,22.59,17.331,19.917,25.549,28.989,28.206,25.308,28.583,27.359,28.068,27.472
Tuolumne Meadows,126.98,14.093,62.12,0,98.17,15.93,12.55,81.27,81.36,91.25,84.33,83.85,81.59,87.07,90.77,89.8,86.58,90.12,88.51,89.8,88.19
Yosemite West,31.38,111.85,36.05,98.17,0,87.07,90.28,27.36,26.07,26.72,19.79,14.32,16.9,22.53,26.23,25.27,22.05,25.59,23.98,25.27,23.66
Olmsted Point,115.71,29.61,46.19,15.93,87.07,0,3.38,65.5,74.67,75.48,68.4,67.91,65.66,71.29,74.83,74.03,70.65,74.19,72.74,73.87,72.26
Tenaya Lake,119.09,26.39,49.41,12.55,90.28,3.38,0,68.72,78.05,78.7,71.78,71.29,69.04,74.51,78.21,77.25,74.03,77.57,75.96,77.25,75.48
Wildcat Falls,56.17,95.11,19.565,81.27,27.36,65.5,68.72,0,15.119,15.796,8.82,3.561,6.147,11.779,15.219,14.436,11.538,14.813,13.589,14.298,13.703
Mirror Lake,54.88,104.29,29.737,81.36,26.07,74.67,78.05,15.967,0,1.12,8.448,12.406,13.329,11.339,0.883,0.794,12.145,3.547,2.323,3.396,3.416
Vernal Falls,55.52,105.09,30.413,91.25,26.72,75.48,78.7,16.644,1.12,0,9.125,13.083,14.006,12.016,1.56,1.47,12.822,4.223,3,4.072,4.092
El Capitan Meadow,48.6,98.01,21.356,84.33,19.79,68.4,71.78,7.587,13.921,14.598,0,4.026,4.949,2.959,14.021,13.238,10.34,13.615,12.391,13.1,12.504
Tunnel View,43.13,97.53,17.331,83.35,14.32,67.91,71.29,3.561,11.558,12.235,5.259,0,2.586,8.218,11.658,10.875,7.977,11.252,10.028,10.737,10.142
Bridalveil Falls,45.71,95.27,24.029,81.59,16.9,65.66,69.04,10.259,8.972,9.649,2.673,6.698,0,5.632,9.072,8.289,5.391,8.666,7.442,8.151,7.556
Yosemite Valley View,51.34,100.91,18.397,87.07,22.53,71.29,74.51,4.628,10.962,11.639,4.662,1.066,1.99,0,11.062,10.279,7.381,10.656,9.432,10.141,9.545
Glacier Point,55.04,104.45,29.836,90.77,26.23,74.83,78.21,16.067,0.883,1.56,8.548,12.506,13.429,11.439,0,0.893,12.245,3.646,2.423,3.495,3.515
Curry Village,54.07,103.64,29.054,89.8,25.27,74.03,77.25,15.284,0.794,1.47,7.765,11.723,12.646,10.656,0.893,0,11.462,2.863,1.64,2.712,2.732
Four Mile Trailhead,50.86,100.26,28.486,86.58,22.05,70.65,74.03,14.716,3.581,4.258,7.197,11.155,12.078,10.088,3.681,2.898,0,3.275,2.051,2.76,2.164
Ahwahnee Historic Building,54.4,103.8,28.848,90.12,25.59,74.1,77.57,15.078,4.765,5.442,7.56,11.517,12.44,10.451,4.865,4.082,11.257,0,1.243,2.012,2.527
Valley Visitor Center,52.79,102.35,27.824,88.51,23.98,72.74,75.96,14.054,3.741,4.418,6.536,10.493,11.417,9.427,3.841,3.058,10.233,1.319,0,1.168,1.503
Lower Yosemite Fall,54.07,103.48,27.289,89.8,25.27,73.87,77.25,13.52,4.327,5.003,6.001,9.959,10.882,8.892,4.426,3.643,9.968,2.087,1.167,0,0.968
Sentinel Bridge,52.3,101.87,26.315,88.19,23.66,72.26,75.48,12.545,3.731,4.408,5.026,8.984,9.907,7.917,3.831,3.048,8.723,2.603,1.38,0.968,0
